event_id,speaker_id,organization,domain,event_label,event_type,statement_date,days_to_disclosure
evt_kestrel-c1,K_Nakamura,Kestrel Semiconductor,corporate,Conference fireside,conference_fireside,2024-04-18,7
evt_corveth-c2,S_Ambrose,Corveth Health,corporate,Media interview,media_interview,2024-07-07,7
evt_nortrail-c1,R_Vasquez,Nortrail Energy,corporate,Conference fireside,investor_conference,2024-04-09,12
evt_corveth-c1,S_Ambrose,Corveth Health,corporate,Conference fireside,conference_fireside,2024-04-16,17
evt_nortrail-c2,R_Vasquez,Nortrail Energy,corporate,Investor conference,investor_conference,2024-07-06,15
evt_vantree-c1,D_Okonjo,Vantree Systems,corporate,Investor conference,conference_fireside,2024-04-07,8
evt_ardent-c1,L_Bergström,Ardent Logistics,corporate,Media interview,media_interview,2024-04-26,20
evt_sable-c1,H_Castellanos,Sable Networks,corporate,Investor conference,investor_conference,2024-04-19,8
evt_kestrel-c0,K_Nakamura,Kestrel Semiconductor,corporate,Conference fireside,media_interview,2024-01-05,9
evt_corveth-c3,S_Ambrose,Corveth Health,corporate,Conference fireside,investor_conference,2025-10-25,15
evt_brightmoor-c2,T_Lindqvist,Brightmoor Retail,corporate,Media interview,conference_fireside,2024-07-10,23
evt_tessaly-c2,C_Mbeki,Tessaly Biosciences,corporate,Investor conference,media_interview,2024-07-24,6
evt_corveth-c0,S_Ambrose,Corveth Health,corporate,Conference fireside,investor_conference,2024-01-17,9
evt_braemar-c1,E_Thorsen,Braemar Aviation,corporate,Media interview,media_interview,2024-04-15,7
evt_calderon-c2,A_Whitfield,Calderon Software,corporate,Investor conference,investor_conference,2024-07-22,10
evt_nortrail-c0,R_Vasquez,Nortrail Energy,corporate,Conference fireside,investor_conference,2024-01-08,12
evt_riverton-c1,J_Kovač,Riverton Materials,corporate,Conference fireside,media_interview,2024-04-14,19
evt_riverton-c2,J_Kovač,Riverton Materials,corporate,Investor conference,media_interview,2024-07-09,21
evt_occitan-c2,N_Farouk,Occitan Foods,corporate,Media interview,investor_conference,2024-07-11,6
evt_vantree-c0,D_Okonjo,Vantree Systems,corporate,Media interview,media_interview,2024-01-25,17
evt_pallas-c1,P_Adeyemi,Pallas Financial,corporate,Media interview,media_interview,2024-04-11,8
evt_ardent-c0,L_Bergström,Ardent Logistics,corporate,Media interview,conference_fireside,2024-01-16,23
evt_nordvik-c0,V_Ivanova,Nordvik Marine,corporate,Investor conference,conference_fireside,2024-01-08,17
evt_riverton-c0,J_Kovač,Riverton Materials,corporate,Conference fireside,conference_fireside,2024-01-16,10
evt_calderon-c0,A_Whitfield,Calderon Software,corporate,Investor conference,media_interview,2024-01-15,7
evt_sable-c0,H_Castellanos,Sable Networks,corporate,Media interview,media_interview,2024-01-09,23
evt_tessaly-c0,C_Mbeki,Tessaly Biosciences,corporate,Media interview,media_interview,2024-01-15,11
evt_occitan-c1,N_Farouk,Occitan Foods,corporate,Media interview,investor_conference,2024-04-05,7
evt_halden-c0,M_Ferreira,Halden Robotics,corporate,Conference fireside,conference_fireside,2024-01-14,7
evt_occitan-c0,N_Farouk,Occitan Foods,corporate,Investor conference,media_interview,2024-01-24,11
evt_calderon-c1,A_Whitfield,Calderon Software,corporate,Conference fireside,conference_fireside,2024-04-25,19
evt_tessaly-c1,C_Mbeki,Tessaly Biosciences,corporate,Media interview,media_interview,2024-04-05,22
evt_pallas-c0,P_Adeyemi,Pallas Financial,corporate,Conference fireside,media_interview,2024-01-21,23
evt_brightmoor-c1,T_Lindqvist,Brightmoor Retail,corporate,Conference fireside,conference_fireside,2024-04-09,6
evt_brightmoor-c0,T_Lindqvist,Brightmoor Retail,corporate,Media interview,conference_fireside,2024-01-07,17
evt_halden-c1,M_Ferreira,Halden Robotics,corporate,Investor conference,media_interview,2024-04-16,20
evt_pallas-c2,P_Adeyemi,Pallas Financial,corporate,Media interview,media_interview,2024-07-06,16
evt_ardent-c2,L_Bergström,Ardent Logistics,corporate,Media interview,investor_conference,2024-07-12,12
evt_halden-c2,M_Ferreira,Halden Robotics,corporate,Media interview,investor_conference,2024-07-05,21
evt_tessaly-c3,C_Mbeki,Tessaly Biosciences,corporate,Conference fireside,conference_fireside,2025-10-08,7
evt_braemar-c0,E_Thorsen,Braemar Aviation,corporate,Conference fireside,media_interview,2024-01-13,22
evt_nordvik-c1,V_Ivanova,Nordvik Marine,corporate,Investor conference,media_interview,2024-04-23,20
