outcome_id,event_id,outcome_class,move_pct,abs_move_pct,is_material
out_kestrel-c1,evt_kestrel-c1,miss,-3.7,3.7,False
out_corveth-c2,evt_corveth-c2,beat,13.9,13.9,True
out_nortrail-c1,evt_nortrail-c1,miss,-13.8,13.8,True
out_corveth-c1,evt_corveth-c1,miss,-8.2,8.2,True
out_nortrail-c2,evt_nortrail-c2,inline,-0.3,0.3,False
out_vantree-c1,evt_vantree-c1,miss,-5.7,5.7,False
out_ardent-c1,evt_ardent-c1,miss,-3.2,3.2,False
out_sable-c1,evt_sable-c1,beat,3.4,3.4,False
out_kestrel-c0,evt_kestrel-c0,miss,-20.9,20.9,True
out_corveth-c3,evt_corveth-c3,miss,-14.1,14.1,True
out_brightmoor-c2,evt_brightmoor-c2,miss,-10.6,10.6,True
out_tessaly-c2,evt_tessaly-c2,beat,4.9,4.9,False
out_corveth-c0,evt_corveth-c0,miss,-16.8,16.8,True
out_braemar-c1,evt_braemar-c1,beat,28.0,28.0,True
out_calderon-c2,evt_calderon-c2,miss,-5.8,5.8,False
out_nortrail-c0,evt_nortrail-c0,miss,-13.8,13.8,True
out_riverton-c1,evt_riverton-c1,beat,26.0,26.0,True
out_riverton-c2,evt_riverton-c2,inline,-2.0,2.0,False
out_occitan-c2,evt_occitan-c2,inline,-1.4,1.4,False
out_vantree-c0,evt_vantree-c0,miss,-14.1,14.1,True
out_pallas-c1,evt_pallas-c1,beat,9.4,9.4,True
out_ardent-c0,evt_ardent-c0,inline,-0.9,0.9,False
out_nordvik-c0,evt_nordvik-c0,miss,-3.6,3.6,False
out_riverton-c0,evt_riverton-c0,inline,1.4,1.4,False
out_calderon-c0,evt_calderon-c0,inline,-0.7,0.7,False
out_sable-c0,evt_sable-c0,beat,5.4,5.4,False
out_tessaly-c0,evt_tessaly-c0,inline,0.4,0.4,False
out_occitan-c1,evt_occitan-c1,miss,-4.5,4.5,False
out_halden-c0,evt_halden-c0,inline,1.7,1.7,False
out_occitan-c0,evt_occitan-c0,beat,5.6,5.6,False
out_calderon-c1,evt_calderon-c1,miss,-9.4,9.4,True
out_tessaly-c1,evt_tessaly-c1,inline,-1.1,1.1,False
out_pallas-c0,evt_pallas-c0,miss,-8.1,8.1,True
out_brightmoor-c1,evt_brightmoor-c1,inline,1.2,1.2,False
out_brightmoor-c0,evt_brightmoor-c0,beat,12.5,12.5,True
out_halden-c1,evt_halden-c1,inline,-0.3,0.3,False
out_pallas-c2,evt_pallas-c2,miss,-5.0,5.0,False
out_ardent-c2,evt_ardent-c2,inline,1.6,1.6,False
out_halden-c2,evt_halden-c2,inline,2.3,2.3,False
out_tessaly-c3,evt_tessaly-c3,inline,-0.6,0.6,False
out_braemar-c0,evt_braemar-c0,miss,-4.1,4.1,False
out_nordvik-c1,evt_nordvik-c1,miss,-4.3,4.3,False
