statement_id,speaker_id,evasion_projection,mahalanobis,chi2_percentile,p_chi2,dominant_feature,raw__hedging,raw__specificity_avoidance,raw__pronoun_distancing,raw__topic_deflection,raw__confidence_language,raw__surprisal_z,resid__hedging,resid__specificity_avoidance,resid__pronoun_distancing,resid__topic_deflection,resid__confidence_language,resid__surprisal_z,z__hedging,z__specificity_avoidance,z__pronoun_distancing,z__topic_deflection,z__confidence_language,z__surprisal_z,attribution__hedging,attribution__specificity_avoidance,attribution__pronoun_distancing,attribution__topic_deflection,attribution__confidence_language,attribution__surprisal_z
kestrel-c1,K_Nakamura,3.4455,5.4395,99.995,4.70586e-05,topic_deflection,0.625,0.7222,0.625,1.0,0.0,4.6709,0.6111,0.69,0.6241,0.9984,-0.0348,4.4704,1.213,1.696,0.612,1.395,-0.962,3.332,0.0,0.0748,0.0707,0.473,0.0063,0.3752
corveth-c2,S_Ambrose,2.7496,7.3076,100.0,9.73936e-10,surprisal_z,0.9766,1.0,0.0,1.0,0.3906,3.9833,0.9741,0.9581,0.0014,1.0044,0.3515,3.7864,1.744,1.929,-1.524,0.943,-0.79,6.262,0.0227,0.1853,0.0154,0.0005,0.0418,0.7343
nortrail-c1,R_Vasquez,2.5209,3.3554,91.929,0.08071,specificity_avoidance,0.9174,1.0,0.1,1.0,1.0,1.4289,0.8621,0.9454,0.0931,0.9839,0.9285,0.9589,0.897,1.954,-0.719,0.647,1.221,0.73,0.1555,0.3572,0.0344,0.1988,0.2068,0.0473
corveth-c1,S_Ambrose,2.3017,3.8551,97.864,0.0213576,surprisal_z,1.0,1.0,0.1667,1.0,1.0,2.5915,0.8998,0.9177,0.1535,0.9686,0.8856,1.8144,1.503,1.806,-1.043,0.852,0.759,2.731,0.112,0.3356,0.0254,0.0111,0.0142,0.5018
nortrail-c2,R_Vasquez,2.0909,2.7473,72.686,0.273137,confidence_language,0.5639,0.7494,0.2857,1.0,1.0,0.9633,0.5789,0.7179,0.2896,1.0104,0.9773,0.8845,0.112,1.314,-0.103,0.709,1.347,0.636,0.0301,0.2544,0.0,0.3111,0.3508,0.0536
vantree-c1,D_Okonjo,2.0595,2.8929,78.771,0.212293,confidence_language,0.7212,0.6795,0.4167,1.0,0.9615,1.4779,0.6451,0.6131,0.4069,0.9767,0.8711,0.8707,1.006,1.573,-0.075,1.426,1.838,0.68,0.0771,0.2269,0.0,0.2195,0.4212,0.0553
ardent-c1,L_Bergström,2.0504,3.7213,96.862,0.0313836,specificity_avoidance,0.1969,0.7375,0.3636,1.0,1.0,2.7351,0.2069,0.7176,0.3661,1.0068,0.9858,2.6872,-0.21,2.312,0.413,0.964,0.947,2.057,0.002,0.3565,0.0531,0.0449,0.238,0.3056
sable-c1,H_Castellanos,2.0196,4.9285,99.954,0.000461851,surprisal_z,0.9901,1.0,0.5,1.0,1.0,4.7331,0.8982,0.922,0.488,0.9716,0.8928,4.0094,1.813,2.554,0.514,0.652,1.126,4.074,0.0157,0.1963,0.0192,0.0555,0.03,0.6833
kestrel-c0,K_Nakamura,1.8091,3.7087,96.749,0.0325053,surprisal_z,0.7895,0.4737,0.5556,1.0,1.0,4.2312,0.6932,0.4143,0.5421,0.9673,0.908,3.5722,1.496,0.766,0.349,1.324,1.663,2.595,0.0261,0.0004,0.0185,0.1427,0.3228,0.4895
corveth-c3,S_Ambrose,1.614,3.1454,87.08,0.129204,surprisal_z,1.0,1.0,0.25,1.0,1.0,3.9277,0.7538,0.7198,0.221,0.9331,0.6479,1.6704,1.03,1.205,-0.83,0.762,0.07,2.473,0.0625,0.2765,0.0267,0.0118,0.0043,0.6181
