speaker_id,display_name,organization,domain,baseline_n,mean_shrinkage,cov_shrinkage,baseline_mean__hedging,baseline_mean__specificity_avoidance,baseline_mean__pronoun_distancing,baseline_mean__topic_deflection,baseline_mean__confidence_language,baseline_mean__surprisal_z,baseline_sd__hedging,baseline_sd__specificity_avoidance,baseline_sd__pronoun_distancing,baseline_sd__topic_deflection,baseline_sd__confidence_language,baseline_sd__surprisal_z
A_Whitfield,A. Whitfield,Calderon Software,corporate,7,0.387,0.132,0.2001,0.0702,0.3696,0.3403,0.5261,0.1389,0.2286,0.1953,0.2195,0.3526,0.4843,0.9501
C_Mbeki,C. Mbeki,Tessaly Biosciences,corporate,7,0.387,0.308,0.2373,0.071,0.2527,0.5618,0.2335,0.1474,0.3538,0.3055,0.3373,0.4562,0.4097,1.0285
D_Okonjo,D. Okonjo,Vantree Systems,corporate,8,0.36,0.324,0.2826,0.1012,0.4317,0.3994,0.2157,0.1978,0.3605,0.3253,0.3297,0.4048,0.3567,0.9891
E_Thorsen,E. Thorsen,Braemar Aviation,corporate,7,0.387,0.262,0.169,0.0768,0.4538,0.5265,0.3348,0.214,0.3383,0.3249,0.3729,0.5232,0.4889,1.2021
H_Castellanos,H. Castellanos,Sable Networks,corporate,4,0.552,0.392,0.2932,0.1344,0.3178,0.6689,0.4181,0.5253,0.3337,0.3084,0.3313,0.464,0.4215,0.8552
J_Kovač,J. Kovač,Riverton Materials,corporate,6,0.424,0.215,0.3171,0.2218,0.4755,0.4485,0.2445,0.4005,0.3787,0.3738,0.3031,0.5051,0.347,1.3071
K_Nakamura,K. Nakamura,Kestrel Semiconductor,corporate,5,0.475,0.162,0.2594,0.1875,0.4332,0.3895,0.3107,0.4102,0.2899,0.2962,0.3116,0.4364,0.3591,1.2187
L_Bergström,L. Bergström,Ardent Logistics,corporate,5,0.475,0.221,0.2679,0.1207,0.2513,0.5459,0.5476,0.5092,0.2898,0.2582,0.2782,0.4778,0.4627,1.0587
M_Ferreira,M. Ferreira,Halden Robotics,corporate,8,0.36,0.332,0.3294,0.2032,0.5027,0.6765,0.334,0.2182,0.3663,0.3265,0.3184,0.4543,0.4135,0.8526
N_Farouk,N. Farouk,Occitan Foods,corporate,8,0.36,0.379,0.4666,0.3335,0.2812,0.8441,0.7203,0.0192,0.389,0.3828,0.3357,0.3214,0.3432,0.9991
P_Adeyemi,P. Adeyemi,Pallas Financial,corporate,7,0.387,0.329,0.2541,0.077,0.1966,0.7534,0.5152,0.2166,0.3076,0.2719,0.2795,0.3989,0.3628,0.8799
R_Vasquez,R. Vasquez,Nortrail Energy,corporate,5,0.475,0.426,0.5385,0.251,0.3223,0.7027,0.4526,0.3797,0.3609,0.3553,0.3186,0.4342,0.3896,0.7933
S_Ambrose,S. Ambrose,Corveth Health,corporate,5,0.475,0.612,0.4358,0.3233,0.4838,0.6341,0.6238,0.2894,0.3086,0.3291,0.3165,0.3926,0.3447,0.5584
T_Lindqvist,T. Lindqvist,Brightmoor Retail,corporate,6,0.424,0.41,0.2481,0.1758,0.2571,0.7103,0.2633,0.09,0.3183,0.3417,0.296,0.3943,0.3933,0.6894
V_Ivanova,V. Ivanova,Nordvik Marine,corporate,6,0.424,0.315,0.316,0.1667,0.412,0.4833,0.2261,0.5156,0.2544,0.2704,0.2408,0.4283,0.2049,0.5144
